product_code,recommend_product_codes_concated 
221641,3975#7112#3971#216341#169533#171692#274696#154452#2834#839324#221577#2785#406#160238#25743#4675#11336#68302#37430#781555#2511#180922#278518#11317#270393#11985#3433#791992#11149#6866#857569#439#857695#829174#818445#173736#158482#63390#668194#862628#66337#184920#2723#366571#814896#319737#168557#23632#70822#711397
857569,675#221641#439#857695#829174#818445#173736#158482#63390#668194#862628#66337#184920#2723#366571#814896#319737#168557#23632#70822#711397#799223#184467#50058#167926#29007#271160#7514#38238#66143#828393#169178#54#2557#1626#5115#55847#274767#9516#11869#855997#59890#150112#32715#313235#862473#170888#659346#54934#31150
439,1925#9805#11208#1955#786#1342#11371#14248#442551#39085#327#1187#773#3131#4954#3925#1522#6614#551297#184748#1765#9862#24049#854547#26093#1299#3461#64598#194875#52113#649#54622#32948#939#4336#824#3398#651#843028#54831#12286#843017#9580#778394#2578#2060#54871#1077#30694#3933
857695,858705#287096#10713#782737#231269#762554#862078#806429#287097#802635#764202#856215#220778#816963#67#158021#2389#9835#188499#11316#594504#857997#207422#849412#854072#3565#485310#6339#860417#177198#9191#816366#158063#853284#220793#9300#407#156615#710515#57703#1925#858086#714340#849089#824652#230552#11992#156616#3669#68541
829174,803472#10907#275471#12039#851468#75816#480500#846593#3061#528152#180832#2476#6740#168607#157994#76005#457059#849429#12041#75622#849112#60292#75952#452535#853448#42458#18878#3084#6739#482043#53876#506716#159784#75524#220809#10624#858083#272710#11637#220527#691178#7305#12036#858077#7047#829811#36719#59179#12034#855898
818445,862954#9407#170656#846454#74954#30894#47838#534#6140#542426#818432#862076#829474#11975#603#11327#2656#182988#28506#5775#220913#15842#53361#24133#29069#771962#321331#182991#695966#218693#3219#271187#24075#200022#69116#21381#189347#20707#60217#72927#59179#24348#24196#4695#70534#854038#69102#2617#28840#219121
173736,831151#264759#276304#771973#27772#169147#158270#168189#31962#509992#3788#168355#29654#824548#863292#178089#714745#436845#157343#827405#167155#666454#178871#184402#222840#9704#279207#235999#10564#6339#43498#154390#208086#817962#279073#32470#3519#275804#436070#3198#4656#241541#4610#75776#38214#164427#51510#580465#786639#77491
158482,178027#186984#1058#53375#617357#276831#71884#161062#47872#186332#1509#11692#7312#826110#3084#221641#857569#439#857695#829174#818445#173736#63390#668194#862628#66337#184920#2723#366571#814896#319737#168557#23632#70822#711397#799223#184467#50058#167926#29007#271160#7514#38238#66143#828393#169178#54#2557#1626#5115
63390,406676#399664#15842#65147#3392#25769#293303#17273#57930#3393#776987#15836#73821#761#338869#209109#796887#53353#15694#6486#594084#15667#2494#857925#226497#64824#853931#4440#11627#57744#455501#434778#33431#15636#849#159422#32948#38267#1522#4463#156400#15645#6546#503787#230552#219633#5671#179984#168908#160124
668194,160287#663531#668230#668188#47013#221641#857569#439#857695#829174#818445#173736#158482#63390#862628#66337#184920#2723#366571#814896#319737#168557#23632#70822#711397#799223#184467#50058#167926#29007#271160#7514#38238#66143#828393#169178#54#2557#1626#5115#55847#274767#9516#11869#855997#59890#150112#32715#313235#862473
862628,12034#221641#857569#439#857695#829174#818445#173736#158482#63390#668194#66337#184920#2723#366571#814896#319737#168557#23632#70822#711397#799223#184467#50058#167926#29007#271160#7514#38238#66143#828393#169178#54#2557#1626#5115#55847#274767#9516#11869#855997#59890#150112#32715#313235#862473#170888#659346#54934#31150
66337,202771#3526#370198#1296#28046#601662#443526#158252#5126#178444#9800#26995#250566#155956#898#427860#818306#9464#9776#963#2005#16514#155499#4533#1049#58842#35738#33516#177331#377638#358#63573#671#2708#9481#9537#9574#47047#575858#94#34208#47720#3556#12140#77565#67172#5470#1702#160240#203946
184920,280440#66962#66326#11581#192157#428734#211565#2009#2761#4610#54894#46889#184673#55073#5767#215296#62975#853#853930#753298#6872#221641#857569#439#857695#829174#818445#173736#158482#63390#668194#862628#66337#2723#366571#814896#319737#168557#23632#70822#711397#799223#184467#50058#167926#29007#271160#7514#38238#66143
2723,32770#316602#158465#206#186329#9580#518093#59684#11661#33209#311942#427685#345291#2877#8658#157418#23840#411706#46686#849247#57501#1960#199301#2969#10576#319999#49056#220#54894#60557#30957#372046#49909#16577#62651#294809#154570#4039#7924#513#440014#33203#49323#44135#1914#3332#31226#3682#483951#22086
366571,47787#368527#499850#169822#824935#10685#11455#826110#347#839160#221641#857569#439#857695#829174#818445#173736#158482#63390#668194#862628#66337#184920#2723#814896#319737#168557#23632#70822#711397#799223#184467#50058#167926#29007#271160#7514#38238#66143#828393#169178#54#2557#1626#5115#55847#274767#9516#11869#855997
814896,852923#53876#161038#824343#18230#75063#158104#820284#853297#844930#852919#852922#9839#857025#822550#170248#852367#57725#822474#829069#8658#12278#59228#164138#852516#763613#375899#156438#62202#204572#11921#17920#219088#81973#171692#12055#73981#69207#215801#226099#212034#666725#53845#57307#272925#30042#53665#71658#852270#44891
319737,856473#852204#628064#846873#856212#329789#491638#562522#214984#9101#805527#5534#38291#59228#739695#647240#9308#4951#665116#46686#638849#56005#852342#1280#1888#4658#158613#48768#335495#736760#501174#46889#7772#225806#673343#855773#376272#11136#562081#856436#34203#164453#51574#17812#855897#57703#16294#55847#207#676370
168557,67582#858539#169507#167616#165677#226943#286172#214754#179568#171824#12432#505755#822059#3166#11336#8038#11706#184161#165704#34673#156482#382973#25048#1673#275277#202049#179497#50502#7300#226586#858071#67655#171825#562632#4675#583512#580#37886#219285#43579#3223#59967#189184#165280#329752#68558#270370#11827#158072#8582
