product_code,recommend_product_codes_concated
59143,12034#2316#846#2332#3089#6572#3031#3039#6207#531
10601,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
829255,3709#8913#8722#9059#2699#8761#6613#154449#8746#10871
159503,468#1868#2527#76870#80049#80128#36007#2489#3837#35834
861860,3493#1552#1577#40964#9536#605#1049#45534#648#5480
26075,513#3180#405#511#4425#1568#281#25998#2723#3680
3398,1740#523#534#66188#854219#1898#2524#1062#9413#300
189089,155405#11956#319737#11936#219269#696119#550195#372472#158881#158298
841501,4377#2017#1548#213443#177123#167925#1525#183049#169178#167926
31323,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
862509,6561#159178#3390#3061#3079#2072#2346#3315#2479#8104
698505,3084#2525#2476#10907#6740#12039#6240#6739#2979#11637
221423,3034#33476#2475#13742#981#1095#3072#5047#5095#2769
11692,52836#160028#4450#1555#675#157636#3003#11808#559#2994
18236,18283#18344#164241#9139#18275#9720#2686#18230#3877#18390
51574,1614#2021#4783#8043#1276#10984#207939#8006#4072#1417
415932,60338#3107#7883#3925#168204#1860#169134#9825#2413#2708
7263,9640#204#2886#2794#682#9839#2518#9516#1074#4500
808407,1740#523#534#66188#854219#1898#2524#1062#9413#300
8722,3709#8913#9059#2699#8761#6613#154449#8746#10871#232496
43579,12033#7670#11096#30091#30103#30039#30133#12037#30074#30093
80972,1492#1051#1885#2612#363#4131#50543#1777#9621#9363
862679,856290#862680#862677#856291#857159#857160#862676#862678
43685,1476#1309#685#11859#1725#604#24880#266#1021#284
11945,12034#2316#846#2332#3089#6572#3031#3039#6207#531
6624,12428#1234#73440#4959#426#40#6904#1544#14320#10993
158377,3394#28#222#357#1990#1353#6456#1166#1007#3800
257756,645372#484399#240276#257046#361370#540590#257754#628210#257601#257629
11829,1522#5345#647#9805#1827#4478#2348#17#11831#2310
32639,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
157775,60338#3107#7883#3925#168204#1860#169134#9825#2413#2708
851916,155405#189089#11956#319737#11936#219269#696119#550195#372472#158881
76053,3084#2525#2476#10907#6740#12039#6240#6739#2979#11637
11136,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
54818,3394#28#222#357#1990#1353#6456#1166#1007#3800
412288,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
1055,12428#1234#73440#4959#426#40#6904#1544#14320#10993
551744,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
848819,13655#617879#853758
185759,219088#11985#680#1143#50508#154478#169288#227839#2970#168669
3683,4230#2464#1020#74#348977#6022#1341#5249#3005#12253
13647,2282#3385#1503#226388#228116#947#2269#13656#226390#3030
4016,3034#33476#2475#13742#981#1095#3072#5047#5095#2769
322821,11842#1012#352295#156629#254236#4184#150115#2322#270497#11923
189435,1740#523#534#854219#66188#1898#2524#1062#9413#300
256512,645372#484399#240276#257046#361370#540590#257754#628210#257601#257629
191011,1186#989#11620#485#1278#4114#3716#379#7436#425
666720,3609#939#31135#8209#3121#5614#450#2512#4758#3122
853383,12034#2316#846#2332#3089#6572#3031#3039#6207#531
211379,194137#196057#227883#187859
425133,226921#155532#428486#158557#168647#2130#9683#206601#151447#7262
50844,1492#1051#1885#2612#363#4131#50543#1777#9621#9363
495699,507#20717#154010#163890#20707#18956#160025#223560#194244#165404
59740,12025#3490#11889#12021#7966#220036#60218#2775#11874#7505
32712,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
227286,11369#7047#13734#442#12407#6813#154556#13659#3673#3671
849091,2272#2279#157514#2274#153992#6304#198855#7322#153993#12083
2657,3655#3442#5147#3502#158282#659#1400#8623#1524#1498
719799,119#7474#70477#71587#7317#7472#2792#71305#56#71208
404339,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
324967,1740#523#534#854219#66188#1898#2524#1062#9413#300
551997,11692#52836#160028#4450#1555#675#157636#3003#11808#559
220023,6561#159178#3390#3061#3079#2072#2346#3315#2479#8104
153992,2272#2279#157514#2274#6304#198855#7322#153993#12083#774084
854126,1566#646#2235#1358#12163#1832#820#224596#1790#1500
173783,170700#5184#3682#182035#345291#12236#12235#163319#200048#178019
4039,1566#646#2235#1358#12163#1832#820#224596#1790#1500
581,495#5710#2804#857#11628#580#2043#3834#174#2929
863279,2670#1937#2744#2793#18867#1715#18877#18878#4422#2713
33511,3034#33476#2475#13742#981#1095#3072#5047#5095#2769
226085,1462#1986#2318#854#599#851#852#3073#127#2431
857064,11842#1012#352295#156629#254236#4184#150115#2322#270497#11923
849529,11692#52836#160028#4450#1555#675#157636#3003#11808#559
274842,119#7474#70477#71587#7317#7472#2792#71305#56#71208
1362,3655#3442#5147#3502#158282#659#1400#8623#1524#1498
2464,4230#1020#74#348977#6022#1341#5249#3005#12253#4055
49964,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
76014,3084#2525#2476#10907#6740#12039#6240#6739#2979#11637
4286,1086#2988#5747#10565#176927#202817#282938#856602
723115,12026#12022#2002#3171#3223#2870#1919#12012#12142#12362
56659,2126#3387#1695#726#2543#521#67#1660#56625#994
863289,80708#8014#168684#3762#12010#3423#61640#4721#61621#61583
364901,9640#204#2886#2794#682#9839#2518#9516#1074#4500
6268,31113#33005#330010#31412#771#151894#31304#3200#8085#2702
164261,60338#3107#7883#3925#168204#1860#169134#9825#2413#2708
852343,540757#294092#360988#360987#505500#266981#281039#266982#296470#264653
46546,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
863036,551268#551247#552106#766882#766832#766855#766868#766850#854480#853694
184249,3428#1477#3427#69#386#2559#2001#5841#3664#1673
32046,31113#33005#330010#31412#771#151894#6268#31304#3200#8085
47629,1186#989#11620#485#1278#4114#3716#379#7436#425
1392,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
25123,1476#1309#685#11859#1725#604#24880#266#1021#284
819,337#1408#8153#1318#1322#1321#183527#12035#4967#1320
301451,1683#8744#326832#948#227420#2735#5906#4374#227414#11363
814594,60338#3107#7883#3925#168204#1860#169134#9825#2413#2708
1605,11692#52836#160028#4450#1555#675#157636#3003#11808#559
824289,12428#1234#73440#4959#426#40#6904#1544#14320#10993
802521,11842#1012#352295#156629#254236#4184#150115#2322#270497#11923
853230,119#7474#70477#71587#7317#7472#2792#71305#56#71208
9706,3408#11101#2549#8381#2418#154505#14213#6902#11925#9411
257601,645372#484399#240276#257046#361370#540590#257754#628210#257629#257005
355670,3316#3411#68243#68108#12006#68093#68231#12005#69213#68177
54880,3394#28#222#357#1990#1353#6456#1166#1007#3800
222532,11963#3096#448#479#154492#1033#2484#2923#2748#213438
1296,3428#1477#3427#69#386#2559#2001#5841#3664#1673
862392,3316#3411#68243#68108#12006#68093#68231#12005#69213#68177
852074,749744#853938#853900#852911#852065#852056#852254#860965#860729#853790
853258,1740#523#534#66188#854219#1898#2524#1062#9413#300
732311,1740#523#534#66188#854219#1898#2524#1062#9413#300
864600,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
863301,189184#182031#170760#170753#182049#532269#532267
666677,666681
155524,763#2477#1652#155883#6518#2331#14286#907#2841#831344
21657,1553#2074#21661#4516#6961#2075#154398#2061#7151#414
68115,3316#3411#68243#68108#12006#68093#68231#12005#69213#68177
16798,1042#222273#1754#1516#1551#2071#13774#42458#2070#344
818093,3034#33476#2475#13742#981#1095#3072#5047#5095#2769
856393,856397#856394#856396
1919,12026#12022#2002#3171#3223#2870#12012#12142#12362#28954
272727,12034#2316#846#2332#3089#6572#3031#3039#6207#531
58764,2126#3387#1695#726#2543#521#67#1660#56625#994
861604,1492#1051#1885#2612#363#4131#50543#1777#9621#9363
852118,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
862575,3669#220793#769850#11316#10713#301340#2268#301337#220778#10868
42459,1042#222273#1754#1516#1551#2071#13774#42458#2070#344
9602,188133#2851#1134#524#2505#6616#165206#173739#11235#2581
17080,1253#6202#651#2919#2669#9826#3102#5100#503#3018
215006,11842#1012#352295#156629#254236#4184#150115#2322#270497#11923
31728,31694#3788#2430#2467#4656#125#1911#2635#31708#158270
755394,228199#755065#755064#765912#765911#755392#755384#755393#755385#755387
854071,849577#853920#854358#849513#854145#854142#854141#843033#864633#849569
64081,2371#4306#3614#5879#4331#1122#3166#5884#32589#4325
552053,511375#551409#511356#511363#511378#511398#602559#602486#511379#602554
12126,3394#28#222#357#1990#1353#6456#1166#1007#3800
5777,3428#1477#3427#69#386#2559#2001#5841#3664#1673
1334,1740#523#534#854219#66188#1898#2524#1062#9413#300
9530,11927#165#293526#2542#164#2880#2369#1249#294345#9380
181480,2516#27346#372#3433#216728#27344#27343#151471#2474#9523
559221,540757#294092#360988#360987#505500#266981#281039#266982#296470#264653
163811,3236#681#74535#2872#1821#80181#3870#75358#930#74480
730526,12056#12072#242376#3129#251551#272379#81758#327534#272846#552518
12065,339627#47100#6862#1560#2756#1682#8023#3450#1562#1139
864591,11836#47923#160815#220541#864608#864559
207956,1740#523#534#66188#854219#1898#2524#1062#9413#300
31559,169794#323287#506415
529715,3394#28#222#357#1990#1353#6456#1166#1007#3800
9473,119#7474#70477#71587#7317#7472#2792#71305#56#71208
9088,4810#645#9106#850#285236#8905#8909#8910#8719#8901
43404,2617#24075#3318#2478#24196#24123#3219#3210#24181#24133
19510,64#391#12256#11605#96#1102#641#2343#11604#706
191188,3034#33476#2475#13742#981#1095#3072#5047#5095#2769
197496,180754#2309#1907#9849#199715#9704#216239#50585#442975#52661
863343,188133#2851#1134#524#2505#6616#165206#173739#11235#2581
9593,11692#52836#160028#4450#1555#675#157636#3003#11808#559
177571,12033#7670#11096#30091#30103#30039#30133#12037#30074#30093
10753,1186#989#11620#485#1278#4114#3716#379#7436#425
221335,12034#2316#846#2332#3089#6572#3031#3039#6207#531
46077,2617#24075#3318#2478#24196#24123#3219#3210#24181#24133
825990,3414#11901#770824#373#5146#5815#11867#227912#275164#167838
