product_code,product_name,class_code,class_name,our_price,total_amount
159178,瑞舒伐他汀钙片(可定),010602,高血脂类,6500,109311
71587,吸入用布地奈德混悬液(普米克令舒),011802,哮喘用药,9900,81999
220786,替格瑞洛片(倍林达),010606,心肌病,19891,49690
837737,创口贴肤色弹力型(约斯夫),050608,创伤用品,1200,40996
54798,板蓝根颗粒,011602,抗菌消炎,830,34990
623779,美沙拉秦缓释颗粒(艾迪莎),010210,胃肠道感染,6800,32214
6561,阿托伐他汀钙片(立普妥),010602,高血脂类,8900,31328
165206,硫酸羟氯喹片(纷乐),010327,其他用药,3660,31134
11963,氨酚羟考酮片(泰勒宁),010107,其他用药,6000,27549
774878,玻尿酸补水保湿面膜3片装,17,化妆品,3600,26441
1885,玉屏风颗粒(德众),011413,补气类药,1850,26235
13734,恩替卡韦分散片(维力青),011002,乙肝用药,9000,25276
771030,柏美生活 儿童退热贴(小儿护脑型)-草莓味,050609,物理降温,2000,24773
1021,曲安奈德新霉素贴膏(恒健),010317,皮炎湿疹,500,23753
782082,【不需采血测血糖】雅培—辅理善瞬感传感器测量血糖,050204,雅培瞬感,70000,22313
5047,阿司匹林肠溶片(拜阿司匹灵),010604,冠心病,2500,21060
178425,磷酸奥司他韦颗粒(可威),010101,感冒发热,10500,20526
7142,戊酸雌二醇片(补佳乐),010808,更年期综合症,5000,19814
1555,金匮肾气丸(同仁堂)(水蜜丸),011102,补肾壮阳,1980,19643
11842,肠内营养粉剂(TP)(安素),010215,其他用药,8900,18168
514234,枸橼酸西地那非片(金戈),011103,性功能障碍,67000,18103
7047,恩替卡韦片(博路定),011002,乙肝用药,24066,17555
68243,拉莫三嗪片(利必通),010510,面瘫癫痫,16200,17346
6061,夏桑菊茶(葛仙翁),15,食品,700,16966
818497,枸橼酸西地那非片(金戈),011103,性功能障碍,6800,16918
716986,名流避孕套 冰火六合一24只装,05,医疗器械,3290,16606
3084,盐酸二甲双胍片(格华止),010702,西药降糖,3600,16041
12034,缬沙坦氨氯地平片(Ⅰ)(倍博特),010601,高血压类,6850,15961
119,复方甲氧那明胶囊(阿斯美),011802,哮喘用药,5600,15779
3316,丙戊酸钠缓释片(I)(德巴金),010510,面瘫癫痫,8500,15664
846123,进口诺丝避孕套 10只 惊喜装天然胶乳橡胶避孕套,040501,安全套,1190,15514
6864,苯磺酸左旋氨氯地平片(施慧达),010601,高血压类,4200,15038
818498,枸橼酸西地那非片(金戈),011103,性功能障碍,36800,14525
14978,恩替卡韦胶囊(恩甘定),011002,乙肝用药,12000,14391
849429,普瑞巴林胶囊(乐瑞卡),010512,偏头疼类,11100,14352
165272,瑞舒伐他汀钙片(托妥),010602,高血脂类,6000,14288
846122,名流天然胶乳橡胶避孕套(紧绷四合一套装) ,040501,安全套,2000,14179
70477,布地奈德福莫特罗粉吸入剂(信必可都保),011802,哮喘用药,33000,14103
3900,奥美拉唑肠溶胶囊(立卫克),010213,胃及十二指肠溃疡,1250,13569
12817,盐酸舍曲林片(左洛复),010508,抑郁症类,10500,13455
221382,达比加群酯胶囊(泰毕全),010608,心律不齐,21690,13216
3772,男宝胶囊(春梦),011102,补肾壮阳,1250,13150
846,苯磺酸氨氯地平片(络活喜),010601,高血压类,4000,13040
11929,疏肝益阳胶囊(益佰),011102,补肾壮阳,6700,13001
7689,孟鲁司特钠咀嚼片(顺尔宁),010910,咳嗽哮喘,4600,12689
11901,奥氮平片(欧兰宁),010504,精神分裂,12800,12484
6872,【儿童补钙】采森儿童型钙片儿童钙片正品保健品,18,保健食品,2300,12408
12033,卡泊三醇软膏(达力士),010318,银屑病,8200,12309
12256,地屈孕酮片(达芙通),010802,月经不调,14300,12171
11191,琥珀酸美托洛尔缓释片(倍他乐克),010601,高血压类,2070,12128
56027,小柴胡颗粒(云丰),010101,感冒发热,2000,11988
75808,盐酸二甲双胍缓释片(圣邦杰),010702,西药降糖,1420,11828
70823,吸入用异丙托溴铵溶液(爱全乐),011802,哮喘用药,4840,11745
828014,酒精消毒片(柏美康),050610,日常护理,500,11653
810635,璟优克电子体温计,050203,体温计,1290,11571
514235,枸橼酸西地那非片(金戈),011103,性功能障碍,19800,11564
3041,复方鳖甲软肝片(回乐),011004,肝硬化类,8000,11373
341,复方酮康唑软膏(万邦医药),010314,手足癣病,680,11297
11851,草酸艾司西酞普兰片(来士普),010508,抑郁症类,12175,10999
856003,毓婷早孕试纸30条,040503,怀孕检测,1700,10998
6866,多巴丝肼片(美多芭),010503,帕金森类,9900,10843
14981,盐酸特比萘芬片(美莎抒),010327,其他用药,3200,10738
68231,左乙拉西坦片(开浦兰),010510,面瘫癫痫,29900,10622
246,风油精(白云山),010316,蚊虫叮咬,330,10529
68555,盐酸普拉克索片(森福罗)  ,010503,帕金森类,23500,10510
497,奥美拉唑肠溶胶囊(罗丹),010213,胃及十二指肠溃疡,350,10481
675,同仁堂 六味地黄丸(浓缩丸) 120s,011102,补肾壮阳,1800,10434
222273,乳酸菌素片(江中),010206,消化不良,1400,10409
9647,右归丸(同仁堂),011102,补肾壮阳,5600,10356
5832,双氯芬酸钠肠溶片(糖衣片),010403,风湿骨痛内服,1200,10355
527821,恩替卡韦分散片(贝双定),011003,肝炎用药,20000,10157
6207,缬沙坦胶囊(代文),010601,高血压类,4944,10149
53876,肠内营养混悬液(TPF)(能全力纤维型即用型),011303,多种维生素矿物质,5900,10068
7317,孟鲁司特钠片(顺尔宁),011802,哮喘用药,4749,10056
65271,银杏叶提取物片(金纳多),010601,高血压类,4680,10045
46790,双氯芬酸钠缓释片(迪根),010403,风湿骨痛内服,1200,10034
841464,甲钴胺片(弥可保),010511,其他用药,6500,9710
159381,西洋参黄芪胶囊(白云山奇星),011401,益气养阴,29800,9662
3034,硫酸氢氯吡格雷片(波立维),010604,冠心病,13300,9593
33005,甲泼尼龙片(美卓乐),011602,抗菌消炎,4600,9578
213797,硫酸羟氯喹片(赛能),010327,其他用药,6650,9497
301337,枸橼酸西地那非片(金戈),011103,性功能障碍,4800,9408
269069,引阳索胶囊(育林),011102,补肾壮阳,11800,9163
12022,异维A酸软胶囊(泰尔丝),010319,痤疮,4980,9134
220793,盐酸达泊西汀片(必利劲),011103,性功能障碍,24800,9106
53345,胸腺肽肠溶片(迪尔舒),011003,肝炎用药,2950,9035
851863,毓婷早早孕快速检测试纸(优备孕备孕套装),040503,怀孕检测,1660,9021
11455,毛冬青片(新峰药业),010604,冠心病,2000,8944
321540,恩替卡韦分散片(和恩),011003,肝炎用药,19000,8914
178798,阿托伐他汀钙片(阿乐),010602,高血脂类,3300,8853
357,感冒灵颗粒(999),010101,感冒发热,1600,8818
68108,卡马西平片(得理多),010510,面瘫癫痫,3520,8655
75063,整蛋白型肠内营养剂(能全素),011306,营养类,8951,8652
10780,转移因子口服溶液(精一),010323,尖锐湿疣,3600,8625
630726,康恩贝 维生素C咀嚼片(香橙味) 1.2g/片*100片,090501,综合保健,1990,8607
7159,金匮肾气丸(同仁堂)(大蜜丸),011102,补肾壮阳,1800,8396
3031,厄贝沙坦片(安博维),010601,高血压类,4800,8309
3314,氟哌噻吨美利曲辛片(黛力新),010502,神经衰弱,7200,8295
860658,【增强免疫力】康恩贝蛋白粉男女成人中老年青少年正品保健品,180101,保健食品,9800,8173
18867,美沙拉嗪肠溶片(惠迪),010210,胃肠道感染,4800,8171
40759,薏芽健脾凝胶(丁桂),010903,消化不良,4280,8137
49751,依托考昔片(安康信),010403,风湿骨痛内服,5025,8110
69124,门冬氨酸鸟氨酸颗粒(瑞甘),011003,肝炎用药,14500,8092
856817,约斯夫平咳贴,050607,理疗产品,500,7999
69213,丙戊酸镁缓释片(神泰),010510,面瘫癫痫,5880,7996
8135,非那雄胺片(浦列安),011101,前列腺类,3300,7965
7474,沙美特罗替卡松粉吸入剂(舒利迭),011802,哮喘用药,28800,7955
71305,吸入用复方异丙托溴铵溶液(可必特)  ,011802,哮喘用药,8000,7856
6813,替比夫定片(素比伏),011002,乙肝用药,16278,7785
6862,塞来昔布胶囊(西乐葆),010403,风湿骨痛内服,5200,7755
712286,布地奈德福莫特罗粉吸入剂(信必可都保),011802,哮喘用药,43500,7652
6048,复方醋酸氟轻松酊(三益),010317,皮炎湿疹,1650,7649
601,皮肤病血毒丸(同仁堂),010313,皮肤瘙痒,2000,7624
10630,烟酰胺片(力生),011807,抗结核,600,7568
